player,Team,total_missed_games,total_missed_injured,total_missed_international_duty,total_missed_other,total_missed_suspended
José Martínez,Philadelphia Union,6,4,0,0,2
João Klauss,St. Louis City,9,9,0,0,0
João Paulo,Seattle Sounders FC,1,1,0,0,0
Juan Mosquera,Portland Timbers,2,1,1,0,0
Judson,San Jose Earthquakes,8,8,0,0,0
Jules-Anthony Vilsaint,CF Montreal,5,5,0,0,0
Julian Gressel,Vancouver Whitecaps,1,0,1,0,0
Julio Cascante,Austin FC,8,7,0,0,1
Julián Carranza,Philadelphia Union,5,4,0,0,1
Justen Glad,Real Salt Lake,3,2,0,0,1
Justin Reynolds,Chicago Fire FC,10,10,0,0,0
Kacper Przybylko,Chicago Fire FC,1,1,0,0,0
Kai Wagner,Philadelphia Union,9,7,0,1,1
Kamal Miller,Inter Miami,2,0,1,0,1
Kamil Józwiak,Charlotte,8,8,0,0,0
Karol Swiderski,Charlotte,1,1,0,0,0
Kayden Pierre,Sporting Kansas City,25,25,0,0,0
Keaton Parks,New York City FC,3,3,0,0,0
Keegan Rosenberry,Colorado Rapids,1,1,0,0,0
Kellyn Acosta,LAFC,11,11,0,0,0
Kelvin Leerdam,LA Galaxy,1,0,1,0,0
Kelyn Rowe,Seattle Sounders FC,13,13,0,0,0
Kemar Lawrence,Minnesota United,2,0,2,0,0
Kervin Arriaga,Minnesota United,9,9,0,0,0
Kerwin Vargas,Charlotte,2,2,0,0,0
Kevin Molino,Columbus Crew,12,12,0,0,0
Khiry Shelton,Sporting Kansas City,5,5,0,0,0
Kipp Keller,Austin FC,4,4,0,0,0
Kortne Ford,Sporting Kansas City,32,32,0,0,0
Kristijan Kahlina,Charlotte,8,8,0,0,0
Kyle Duncan,New York Red Bulls,1,0,0,0,1
Kyle Smith,Orlando City,1,1,0,0,0
Lalas Abubakar,Colorado Rapids,3,2,0,0,1
Lassi Lappalainen,CF Montreal,2,2,0,0,0
Latif Blessing,New England Revolution,2,2,0,0,0
Latif Blessing,Toronto FC,7,7,0,0,0
Leo Väisänen,Austin FC,7,7,0,0,0
Leon Flach,Philadelphia Union,8,8,0,0,0
Leonardo Campana,Inter Miami,8,8,0,0,0
Lewis Morgan,New York Red Bulls,25,25,0,0,0
Lionel Messi,Inter Miami,8,5,2,1,0
Logan Ndenbe,Sporting Kansas City,11,11,0,0,0
Lorenzo Insigne,Toronto FC,14,14,0,0,0
Lucas Bartlett,St. Louis City,4,4,0,0,0
Luciano Acosta,Cincinnati,1,0,0,0,1
Luis Abram,Atlanta United,1,1,0,0,0
Luis Díaz,Columbus Crew,11,11,0,0,0
Luiz Araújo,Atlanta United,3,0,0,0,3
Lukas MacNaughton,Nashville SC,8,8,0,0,0
Luís Caicedo,Houston Dynamo FC,1,0,0,0,1
Luís Martins,Vancouver Whitecaps,12,12,0,0,0
Léo Chú,Seattle Sounders FC,1,0,0,0,1
Machop Chol,Atlanta United,12,12,0,0,0
Maciel,New England Revolution,13,13,0,0,0
Maikel Chang,Real Salt Lake,1,1,0,0,0
Malik Pinto,Cincinnati,1,1,0,0,0
Malte Amundsen,Columbus Crew,2,0,0,0,2
Marcelo Silva,Real Salt Lake,11,10,0,1,0
Marco Farfan,FC Dallas,2,2,0,0,0
Marinos Tzionis,Sporting Kansas City,1,0,1,0,0
Mark Delgado,LA Galaxy,4,4,0,0,0
Marko Ilic,Colorado Rapids,1,1,0,0,0
Martín Cáceres,LA Galaxy,14,13,0,0,1
Martín Rodríguez,DC United,29,29,0,0,0
Marvin Loría,Portland Timbers,6,3,0,3,0
Mason Toye,CF Montreal,3,3,0,0,0
Mateusz Klich,DC United,1,0,0,0,1
Matheus Rossetto,Atlanta United,1,1,0,0,0
Mathieu Choinière,CF Montreal,2,2,0,0,0
Mathías Laborda,Vancouver Whitecaps,1,0,0,0,1
Matko Miljevic,CF Montreal,10,9,0,1,0
Matt Hedges,Austin FC,3,3,0,0,0
Matt Hedges,Toronto FC,5,5,0,0,0
