game,team,player,game_id,player_id,reason,status
2023-05-13 Inter Miami CF-New England Revolution,New England Revolution,Nacho Gil,1701848,300779,injured,Out
2023-05-13 Inter Miami CF-New England Revolution,New England Revolution,Tommy McNamara,1701848,143557,injured,Out
2023-05-14 Austin FC-FC Dallas,Austin FC,Diego Fagundez,1701852,99292,injured doubtful,Doubtful
2023-05-14 Austin FC-FC Dallas,Austin FC,Zan Kolmanic,1701852,412162,injured,Out
2023-05-14 Austin FC-FC Dallas,FC Dallas,Jesús Jiménez,1701852,433504,injured,Out
2023-05-14 Austin FC-FC Dallas,FC Dallas,Nkosi Tafari Burgess,1701852,399739,injured,Out
2023-05-14 Austin FC-FC Dallas,FC Dallas,Paul Arriola,1701852,132631,injured,Out
2023-05-14 Austin FC-FC Dallas,FC Dallas,Tarik Scott,1701852,474793,injured,Out
2023-05-14 Colorado Rapids-Philadelphia Union,Colorado Rapids,Aboubacar Keita,1701858,377604,injured,Out
2023-05-14 Colorado Rapids-Philadelphia Union,Colorado Rapids,Abraham Rodriguez,1701858,426072,injured,Out
2023-05-14 Colorado Rapids-Philadelphia Union,Colorado Rapids,Jack Price,1701858,105891,injured,Out
2023-05-14 Colorado Rapids-Philadelphia Union,Colorado Rapids,Moise Bombito,1701858,474201,injured,Out
2023-05-14 Houston Dynamo FC-Seattle Sounders FC,Houston Dynamo FC,Ifunanyachi Achara,1701854,393390,injured,Out
2023-05-14 Houston Dynamo FC-Seattle Sounders FC,Houston Dynamo FC,Tate Schmitt,1701854,371299,injured,Out
2023-05-14 Houston Dynamo FC-Seattle Sounders FC,Seattle Sounders FC,Cristian Roldan,1701854,271592,injured doubtful,Doubtful
2023-05-14 Houston Dynamo FC-Seattle Sounders FC,Seattle Sounders FC,Jacob Castro,1701854,468751,injured,Out
2023-05-14 Houston Dynamo FC-Seattle Sounders FC,Seattle Sounders FC,Nouhou Tolo,1701854,335583,injured doubtful,Doubtful
2023-05-14 Houston Dynamo FC-Seattle Sounders FC,Seattle Sounders FC,Raúl Ruidíaz,1701854,85915,injured,Out
2023-05-14 Portland Timbers-Vancouver Whitecaps,Portland Timbers,David Ayala,1701871,389242,injured,Out
2023-05-14 Portland Timbers-Vancouver Whitecaps,Portland Timbers,Eryk Williamson,1701871,358518,injured,Out
